Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
010010010260001,Payson CUSD 1,Seymour High School,211,0,0,0,100.00%,211,0,0,0,0,0,211,0,100.00%
010010010262002,Payson CUSD 1,Seymour Elementary School,314,0,1,0,99.68%,314,0,0,0,0,0,314,0,100.00%
010010020260001,Liberty CUSD 2,Liberty High School,295,0,0,0,100.00%,295,0,0,0,0,0,295,0,100.00%
010010020262002,Liberty CUSD 2,Liberty Elementary School,356,1,0,1,99.72%,355,0,0,0,0,1,355,1,99.72%
01001002X060000,Nonpublic School,St James Lutheran,120,20,0,0,83.33%,100,0,0,0,0,20,100,20,83.33%
010010030260001,Central CUSD 3,Central High School,280,0,0,0,100.00%,278,2,0,0,0,0,278,2,99.29%
010010030261001,Central CUSD 3,Central Junior High School,242,0,0,0,100.00%,242,0,0,0,0,0,242,0,100.00%
010010030262003,Central CUSD 3,Central Elementary Grade School,230,0,1,0,99.57%,227,3,0,0,0,0,227,3,98.70%
010010030262008,Central CUSD 3,Central 3-4 Middle School,146,0,3,0,97.95%,143,0,0,3,0,0,143,3,97.95%
010010040260001,CUSD 4,Unity High School,231,0,0,0,100.00%,231,0,0,0,0,0,231,0,100.00%
010010040261001,CUSD 4,Unity Middle School,214,0,0,0,100.00%,214,0,0,0,0,0,214,0,100.00%
010010040262004,CUSD 4,Greenfield Elementary School,143,0,0,0,100.00%,143,0,0,0,0,0,143,0,100.00%
010010040262006,CUSD 4,Mendon Elementary School,90,1,0,0,98.89%,88,1,0,0,0,1,88,2,97.78%
01001005X100000,Nonpublic School,St Dominic School,197,0,0,0,100.00%,192,5,0,0,0,0,192,5,97.46%
01001006X100000,Nonpublic School,St Francis Solanus,348,0,0,0,100.00%,346,1,1,0,0,0,346,2,99.43%
01001007X100000,Nonpublic School,Blessed Sacrament Catholic School,229,0,0,0,100.00%,229,0,0,0,0,0,229,0,100.00%
01001009X100000,Nonpublic School,St Peter School,452,2,1,1,99.34%,451,0,0,1,0,0,451,1,99.78%
01001012Y100000,Nonpublic School,Quincy Notre Dame High School,410,0,0,0,100.00%,409,1,0,0,0,0,409,1,99.76%
010011720220003,Quincy SD 172,Quincy Sr High School,"1,429",7,2,5,99.37%,"1,423",5,1,0,0,0,"1,423",6,99.58%
010011720221003,Quincy SD 172,Quincy Jr High School,"1,430",6,3,7,99.37%,"1,423",5,2,0,0,0,"1,423",7,99.51%
010011720222004,Quincy SD 172,Adams Elementary School,350,1,3,1,98.86%,343,4,0,2,0,1,343,7,98.00%
010011720222006,Quincy SD 172,Dewey Elementary School,257,1,2,2,98.83%,256,0,0,0,0,1,256,1,99.61%
010011720222007,Quincy SD 172,Ellington Elementary School,323,2,0,2,99.38%,321,1,0,0,0,1,321,2,99.38%
010011720222008,Quincy SD 172,Berrian School,193,1,0,0,99.48%,187,3,0,2,0,1,187,6,96.89%
010011720222009,Quincy SD 172,Madison School,396,0,0,0,100.00%,394,2,0,0,0,0,394,2,99.49%
010011720222016,Quincy SD 172,Monroe Elementary School,255,0,0,0,100.00%,254,1,0,0,0,0,254,1,99.61%
010011720222017,Quincy SD 172,Washington Elementary School,280,0,3,0,98.93%,280,0,0,0,0,0,280,0,100.00%
010011720222019,Quincy SD 172,Baldwin Intermediate,"1,457",9,1,6,99.31%,"1,448",9,0,0,0,0,"1,448",9,99.38%
010011720223004,Quincy SD 172,Early Childhood,508,2,0,2,99.61%,506,0,0,2,0,0,506,2,99.61%
010011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,9,1,0,0,88.89%,9,0,0,0,0,0,9,0,100.00%
010750030260002,Pleasant Hill CUSD 3,Pleasant Hill High School,105,0,3,0,97.14%,105,0,0,0,0,0,105,0,100.00%
010750040260002,Griggsville-Perry CUSD 4,Griggsville-Perry High School,112,0,3,2,97.32%,112,0,0,0,0,0,112,0,100.00%
010750040261002,Griggsville-Perry CUSD 4,Griggsville-Perry Middle School,99,0,0,0,100.00%,99,0,0,0,0,0,99,0,100.00%
