Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
Adams County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001001026,01,0010,0001,279,2,2,2,0,277,0,0,0,2,279,277,0,0,0,2,279,277,0,0,0,2,279,277,0,0,0,2,279,277,0,0,0,2,279,276,0,0,1,0,2,279,0,0,0,0,279,0,0,0,0,0,0,0,0,,,,
01001002026,01,0020,2002,278,1,1,1,0,276,0,1,0,1,278,276,0,1,0,1,278,276,0,1,0,1,278,276,0,1,0,1,278,276,0,1,0,1,278,124,0,0,1,153,0,125,37,0,0,0,241,0,37,138,0,0,1,1,140,,,,
01001002026,01,0020,2002,419,0,0,0,0,419,0,0,0,0,419,419,0,0,0,0,419,419,0,0,0,0,419,419,0,0,0,0,419,419,0,0,0,0,419,210,0,1,0,208,0,211,40,0,0,0,379,0,40,161,0,0,0,0,161,,,,
01001002X06,01,002X,n/a,197,0,0,0,0,193,2,2,0,0,197,195,2,0,0,0,197,194,2,1,0,0,197,194,2,1,0,0,197,194,2,1,0,0,197,84,1,0,0,112,0,85,27,0,0,0,170,0,27,101,2,0,0,0,103,,,,
01001003026,01,0030,1001,330,1,0,1,1,329,1,0,0,0,330,329,1,0,0,0,330,329,1,0,0,0,330,329,1,0,0,0,330,329,1,0,0,0,330,329,1,0,0,0,0,330,0,0,0,0,330,0,0,0,0,0,0,0,0,,,,
01001003026,01,0030,2003,260,0,0,0,0,257,3,0,0,0,260,257,3,0,0,0,260,257,3,0,0,0,260,257,3,0,0,0,260,257,3,0,0,0,260,52,0,0,0,208,0,52,52,0,0,0,208,0,52,257,3,0,0,0,260,,,,
01001003026,01,0030,0001,188,0,0,0,0,187,1,0,0,0,188,187,1,0,0,0,188,187,1,0,0,0,188,187,1,0,0,0,188,187,1,0,0,0,188,187,1,0,0,0,0,188,0,0,0,0,188,0,0,0,0,0,0,0,0,,,,
01001003026,01,0030,0001,331,1,1,1,0,331,0,0,0,0,331,329,1,0,0,1,331,331,0,0,0,0,331,331,0,0,0,0,331,331,0,0,0,0,331,328,1,0,2,0,0,331,0,0,0,0,331,0,0,0,0,0,0,0,0,,,,
01001003X10,01,003X,n/a,70,0,0,0,0,70,0,0,0,0,70,70,0,0,0,0,70,70,0,0,0,0,70,70,0,0,0,0,70,70,0,0,0,0,70,35,0,0,0,35,0,35,0,0,0,0,70,0,0,17,0,0,0,0,17,,,,
01001004026,01,0040,2004,155,0,0,0,0,155,0,0,0,0,155,155,0,0,0,0,155,154,1,0,0,0,155,154,1,0,0,0,155,154,1,0,0,0,155,52,0,0,0,103,0,52,0,0,0,0,155,0,0,0,0,0,0,0,0,,,,
01001004026,01,0040,2006,193,0,0,0,0,193,0,0,0,0,193,193,0,0,0,0,193,193,0,0,0,0,193,193,0,0,0,0,193,193,0,0,0,0,193,41,0,0,0,152,0,41,41,0,0,0,152,0,41,193,0,0,0,0,193,,,,
01001004026,01,0040,2008,127,0,0,0,0,125,2,0,0,0,127,125,2,0,0,0,127,125,2,0,0,0,127,125,2,0,0,0,127,125,2,0,0,0,127,0,0,0,0,127,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,,,,
01001004026,01,0040,0001,224,0,0,0,0,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,0,224,0,0,0,0,224,0,0,0,0,0,0,0,0,,,,
01001004X10,01,004X,n/a,69,0,0,0,0,69,0,0,0,0,69,69,0,0,0,0,69,69,0,0,0,0,69,69,0,0,0,0,69,69,0,0,0,0,69,35,0,0,0,34,0,35,10,0,0,0,59,0,10,34,0,1,0,0,35,,,,
01001005X10,01,005X,n/a,176,0,0,0,0,173,3,0,0,0,176,173,3,0,0,0,176,172,3,1,0,0,176,172,3,1,0,0,176,172,3,1,0,0,176,78,4,0,0,94,0,82,0,0,0,0,176,0,0,19,0,0,0,0,19,,,,
01001006X10,01,006X,n/a,279,0,0,0,0,279,0,0,0,0,279,279,0,0,0,0,279,279,0,0,0,0,279,279,0,0,0,0,279,279,0,0,0,0,279,152,0,0,0,127,0,152,52,0,0,0,227,0,52,131,0,0,0,0,131,,,,
01001007X10,01,007X,n/a,170,0,0,0,0,170,0,0,0,0,170,170,0,0,0,0,170,170,0,0,0,0,170,170,0,0,0,0,170,170,0,0,0,0,170,92,0,0,0,78,0,92,53,0,0,0,117,0,53,98,0,0,0,0,98,,,,
01001008X10,01,008X,n/a,133,0,0,0,0,133,0,0,0,0,133,133,0,0,0,0,133,133,0,0,0,0,133,133,0,0,0,0,133,133,0,0,0,0,133,58,0,0,0,75,0,58,0,0,0,0,133,0,0,39,0,0,0,0,39,,,,
01001009X10,01,009X,n/a,462,1,0,0,1,462,0,0,0,0,462,462,0,0,0,0,462,462,0,0,0,0,462,462,0,0,0,0,462,462,0,0,0,0,462,210,0,0,0,252,0,210,0,0,0,0,462,0,0,140,0,0,0,0,140,,,,
