2009-2010 School Year Immunization Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDTS,Facility,RCDT,School,Enrollment,TotalNC,UnduplCount,NCPE,Excluded,PolioProt,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal
140161630022008,21st Century Preparatory Center,14016163002,2008,234,3,3,0,3,232,1,0,0,1,234,230,2,0,0,2,234,232,1,1,0,0,234,233,0,1,0,0,234,233,0,1,0,0,234,54,0,0,0,0,54,54,0,0,0,0,54,233,0,1,0,0,234
540921180243104,2x2 Christian Educational Center,54092118024,3104,19,19,19,0,0,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19
140162180160007,A B Shepard High Sch (Campus),14016218016,0007,1944,3,2,1,3,1942,0,0,2,0,1944,1940,2,0,2,0,1944,1942,0,0,2,0,1944,1942,0,0,2,0,1944,1942,0,0,2,0,1944,1942,0,0,2,0,1944,0,0,0,0,0,0,0,0,0,0,0,0
041012050252059,A C Thompson Elem School,04101205025,2059,307,1,0,1,0,307,0,0,0,0,307,307,0,0,0,0,307,307,0,0,0,0,307,307,0,0,0,0,307,307,0,0,0,0,307,47,0,0,0,0,47,0,0,0,0,0,0,307,0,0,0,0,307
140160960022001,A F Ames Elem School,14016096002,2001,334,1,0,1,0,330,0,0,4,0,334,330,0,0,4,0,334,330,0,0,4,0,334,330,0,0,4,0,334,330,0,0,4,0,334,67,0,0,1,0,68,0,0,0,0,0,0,330,0,0,4,0,334
340491870262008,A J Katzenmaier Elem School,34049187026,2008,389,12,4,8,12,389,0,0,0,0,389,387,2,0,0,0,389,388,1,0,0,0,389,389,0,0,0,0,389,389,0,0,0,0,389,80,0,0,0,0,80,0,0,0,0,0,0,388,1,0,0,0,389
560990860052011,A O Marshall Elem School,56099086005,2011,612,8,8,0,17,602,7,0,2,1,612,602,7,0,2,1,612,604,6,0,2,0,612,604,6,0,2,0,612,604,6,0,2,0,612,93,1,0,1,0,95,33,1,0,0,0,34,602,8,0,2,0,612
400560060262002,A R Graiff Elem School,40056006026,2002,148,0,0,0,0,142,0,0,0,6,148,142,0,0,0,6,148,142,0,0,0,6,148,142,0,0,0,6,148,142,0,0,0,6,148,58,0,0,0,0,58,58,0,0,0,0,58,142,0,0,0,6,148
56099365U261003,A Vito Martinez Middle School,56099365U26,1003,792,46,23,23,23,769,23,0,0,0,792,769,23,0,0,0,792,769,23,0,0,0,792,769,23,0,0,0,792,769,23,0,0,0,792,769,23,0,0,0,792,0,0,0,0,0,0,505,23,0,0,0,528
34049080P003101,AAUW Nursery School,34049080P00,3101,38,0,0,0,0,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,37,0,0,0,1,38
